Chemical Structure,Drug,Species,Route,Dose,Dose Comment,Dose Type,Adverse Effect / Toxicity,System Organ Class,Severity,Year
OS(O)(=O)=O.NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,abacavir sulfate,Human,In Vitro,50 mg/L/27H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1998
NC1=NC2=C(N=CN2COCCO)C(=O)N1,acyclovir,Human,In Vitro,250 ug/mL/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1983
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,adefovir dipivoxil,Human,In Vitro,25-50 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2002
COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,ambrisentan,Human,In Vitro,1300 ug/mL/4H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2003
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2\N=C\N1CCCCCC1)C(O)=O,amdinocillin,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2024
COC1=CC(NS(C)(=O)=O)=CC=C1NC1=C2C=CC=CC2=NC2=C1C=CC=C2,amsacrine,Human,In Vitro,"0.05 uM, 1h",,,"Mutagenic: DNA damage, in leukemic cells",Mutagenicity,,2003
Cl.[H][C@@]12CC3=CC=C(O)C(O)=C3C3=C1C(CCN2C)=CC=C3,apomorphine hydrochloride,Human,In Vitro,356 ug/plate/20H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2003
Cl.O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1,arbutamine hydrochloride,Human,In Vitro,819.2-849.7 mg/L/3H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,1994
O1[As]2O[As]1O2,arsenic trioxide,Human,In Vitro,0.336 umol/L,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2000
OS(O)(=O)=O.COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=NC=CC=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,atazanavir sulfate,Human,In Vitro,30 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, with/without S9",Mutagenicity,,2002
NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,azacitidine,Human,In Vitro,20 uM/8H,,,"Mutagenic: Mitotic disturbance, in mammary tumor cells",Mutagenicity,,2001
[Na+].OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O,balsalazide disodium,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2007
[O-]S([O-])(=O)=O.C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CNC=N1)C(=O)NCCC1=NC(=CS1)C1=NC=C(S1)C(N)=O,bleomycin sulfate,Human,In Vitro,100 ug/mL/20H,,,"Mutagenic: Chromosome aberration, in leukemic cells",Mutagenicity,,1973
CC(C)=O.[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]1(C)[C@H](C[C@H]1OC[C@@]21OC(C)=O)OC)C3(C)C,cabazitaxel,Human,In Vitro,0.001 ug/mL/20H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2010
[H][C@]12CC[C@]([H])(O1)[C@]1(C)C(=O)OC(=O)[C@]21C,cantharidin,Human,In Vitro,Unreported,,,"Mutagenic: Micronucleus test, in leukemic cells",Mutagenicity,,2023
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,capecitabine,Human,In Vitro,250-500 mg/L/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2007
[NH3][Pt]1([NH3])OC(=O)C2(CCC2)C(=O)O1,carboplatin,Human,In Vitro,10 uM/24H,,,"Mutagenic: Micronucleus test, in lymphocytes",Mutagenicity,,1997
[H][C@]12SCC(\C=C3/CCN([C@@H]4CCN(C4)C(=O)OCC4=C(C)OC(=O)O4)C3=O)=C(N1C(=O)[C@H]2NC(=O)C(=NO)C1=NSC(N)=N1)C(O)=O,ceftobiprole medocaril,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2024
CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1,ceritinib,Human,In Vitro,"4 ug/mL, 3H",,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2014
ClC(Cl)Cl,chloroform,Human,In Vitro,10-2M/72H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1983
Cl.CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,chlorpromazine hydrochloride,Human,In Vitro,"1 mM, 30M",,,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,1992
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,cidofovir,Human,In Vitro,12.5-100 ug/plate/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1993
[NH3][Pt]([NH3])(Cl)Cl,cisplatin,Human,In Vitro,"2.5 uM, 24h",,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2004
NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,cladribine,Human,In Vitro,20 umol/L/24H,,,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,1992
COC1=CC=C2C(=CC1=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C21)NC(C)=O,colchicine,Human,In Vitro,10 ng/mL,,Single,"Mutagenic: Unreported assay, in lymphoma cells",Mutagenicity,,2013
ClCCN(CCCl)P1(=O)NCCCO1,cyclophosphamide,Human,In Vitro,"0.5 mM, 48H",,,"Mutagenic: Sister chromatid exchange, in lymphocytes, without S9",Mutagenicity,,1981
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,cytarabine,Human,In Vitro,10 nM/4H,,,"Mutagenic: DNA synthesis, in leukemic cells",Mutagenicity,,2001
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,cytarabine liposome,Human,In Vitro,1-100 umol/l,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1998
Cl.COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,daunorubicin hydrochloride,Human,In Vitro,0.1 ug/mL/90M,,,"Mutagenic: Chromosome aberration, in sperm",Mutagenicity,,1995
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,dexamethasone,Human,In Vitro,10 ug/mL,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1994
Cl.C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,dexrazoxane hydrochloride,Human,In Vitro,10-100 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,1994
CC\C(C1=CC=C(O)C=C1)=C(\CC)C1=CC=C(O)C=C1,diethylstilbestrol,Human,In Vitro,10-4M/72H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes, with S9",Mutagenicity,,1985
Cl.NCCC1=CC=C(O)C(O)=C1,dopamine hydrochloride,Human,In Vitro,4.8 uM/1H,,,"Mutagenic: DNA synthesis, in melanoma cells",Mutagenicity,,1980
Cl.COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,doxorubicin hydrochloride,Human,In Vitro,50 ng/mL,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1991
O.CC1=CC=C(C=C1)S(O)(=O)=O.CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]1C[C@H](CC[C@@H]1NC(=O)C(=O)NC1=NC=C(Cl)C=C1)C(=O)N(C)C,edoxaban tosylate,Human,In Vitro,313 ug/ml,,Single,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2015
Br.CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,eletriptan hydrobromide,Human,In Vitro,10-60 mg/L/24H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2002
FC(F)OC(F)(F)C(F)Cl,enflurane,Human,In Vitro,0.01%/24H,,,"Mutagenic: Mitotic disturbance, in lymphoid cells",Mutagenicity,,1976
CCN(CC)C(=O)C(\C#N)=C\C1=CC(=C(O)C(O)=C1)N(=O)=O,entacapone,Human,In Vitro,400 mg/L/3H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,1998
NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)C2=C)C(=O)N1,entecavir,Human,In Vitro,10 mg/L/24H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2004
Cl.COC1=C2C(=O)C3=C(C(=O)C2=CC=C1)C(O)=C1C[C@](O)(C[C@H](O[C@H]2C[C@H](N)[C@@H](O)[C@H](C)O2)C1=C3O)C(=O)CO,epirubicin hydrochloride,Human,In Vitro,0.05-0.8 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, with/without S9",Mutagenicity,,1999
[Na+].COC1=CC2=C([N-]C(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1,esomeprazole sodium,Human,In Vitro,1.6 mmol/L/3H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2004
[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])CCC1=C2C=CC(O)=C1,estradiol,Human,In Vitro,10 ug/mL/24H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1995
[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@@]3(O)C#C)[C@]1([H])CCC1=C2C=CC(O)=C1,ethinyl estradiol,Human,In Vitro,1 ug/mL/24H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes, with/without S9",Mutagenicity,,1997
CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O,famciclovir,Human,In Vitro,1200-4800 mg/L/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1994
NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,fludarabine phosphate,Human,In Vitro,5 uM/4H,,,"Mutagenic: DNA synthesis, in leukemic cells",Mutagenicity,,2001
FC1=CNC(=O)NC1=O,fluorouracil,Human,In Vitro,"1.56 ug/mL, 4 h",,,"Mutagenic: Specific Locus Test, in leukemic cells",Mutagenicity,,2006
[H][C@@]12CC[C@](C)(O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,fluoxymesterone,Human,In Vitro,10 ug/mL/24H,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1995
C=O,formaldehyde,Human,In Vitro,1 mM/20H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes, with S9",Mutagenicity,,1986
NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,ganciclovir,Human,In Vitro,250 ug/ml,,Repeated,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,2017
[Na+].NC1=NC2=C(N=CN2COC(CO)CO)C([O-])=N1,ganciclovir sodium,Human,In Vitro,2-500 ug/L,,,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,1994
[Cl-].CN(C)C1=CC=C(C=C1)C(\C1=CC=C(C=C1)N(C)C)=C1\C=C/C(/C=C\1)=[N+](\C)C,gentian violet,Human,In Vitro,"0.5 ug/mL, 5h",,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1978
FC(F)(F)C(Cl)Br,halothane,Human,In Vitro,0.01%/24H,,,"Mutagenic: Mitotic disturbance, in lymphoid cells",Mutagenicity,,1976
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,idoxuridine,Human,In Vitro,"100 ug/mL, 48H",,,"Mutagenic: Mutation in mammalian somatic cells, in HeLa cells",Mutagenicity,,1992
CC(C)C[C@H](NC(=O)CNC(=O)C1=C(Cl)C=CC(Cl)=C1)B1OC(=O)C(CC(O)=O)(CC(O)=O)O1,ixazomib citrate,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in leukocytes",Mutagenicity,,2015
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,lamivudine,Human,In Vitro,100-300 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1995
N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,levodopa,Human,In Vitro,2 mM/1H,,,"Mutagenic: DNA synthesis, in melanoma cells",Mutagenicity,,1980
Cl.CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N1CCNC(C)C1)C(F)=C2,lomefloxacin hydrochloride,Human,In Vitro,"50 uM, 1 h",,,"Mutagenic: DNA damage, in skin cells",Mutagenicity,,2006
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,masoprocol,Human,In Vitro,1.1 ncM,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1998
Cl.CN(CCCl)CCCl,mechlorethamine hydrochloride,Human,In Vitro,10 uM/24H,,,"Mutagenic: DNA adduct, in brain tumor cells",Mutagenicity,,2000
N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,melphalan,Human,In Vitro,10 uM/72H,,,"Mutagenic: DNA adduct, in colon tumor cells",Mutagenicity,,2004
CC1=CC(=O)C2=C(C=CC=C2)C1=O,menadione,Human,In Vitro,"15 uM, 30M",,,"Mutagenic: DNA damage, in fibroblasts",Mutagenicity,,1985
COC(F)(F)C(Cl)Cl,methoxyflurane,Human,In Vitro,0.01%/24H,,,"Mutagenic: Mitotic disturbance, in lymphoid cells",Mutagenicity,,1976
Cl.CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1,methyldopate hydrochloride,Human,In Vitro,2 mM/1H,,,"Mutagenic: DNA synthesis, in melanoma cells",Mutagenicity,,1980
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,metrifonate,Human,In Vitro,20 ug/mL,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1993
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,mitomycin,Human,In Vitro,"0.1 ug/mL, 24 h",,,"Mutagenic: DNA damage, in leukemic cells",Mutagenicity,,2000
Cl.[H][C@@]12CC3=C4C(O[C@H]5C(=O)CC[C@]1(O)[C@@]45CCN2CC=C)=C(O)C=C3,naloxone hydrochloride,Human,In Vitro,Unreported,,,"Mutagenic: Unreported assay, in lymphocytes",Mutagenicity,weak,2021
[N]=O,nitric oxide,Human,In Vitro,Unreported,,,"Mutagenic: Unreported assay, in lymphocytes",Mutagenicity,,2018
O=C1CN(C(=O)N1)\N=C\C1=CC=C(O1)N(=O)=O,nitrofurantoin,Human,In Vitro,112 mg/mL/0.5H,,,"Mutagenic: DNA damage, in fibroblasts",Mutagenicity,,1983
NC(=O)N\N=C\C1=CC=C(O1)N(=O)=O,nitrofurazone,Human,In Vitro,250 mM/90M,,,"Mutagenic: DNA damage, in nasal tumor cells",Mutagenicity,,1975
[H][C@]12CCC(=O)C=C1CC[C@]1([H])[C@]2([H])CC[C@@]2(C)[C@@]1([H])CC[C@@]2(OC(C)=O)C#C,norethindrone acetate,Human,In Vitro,1 ug/plate/24H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes, with/without S9",Mutagenicity,,1996
[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)[C@]2([H])C(=O)C=C2[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)C(=C[C@]21C)C#N)NC(=O)C(C)(F)F,omaveloxolone,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in blood cells",Mutagenicity,,2023
Cl.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O,oxycodone hydrochloride,Human,In Vitro,2500 ug/mL,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2009
OS(O)(=O)=O.CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1,penbutolol sulfate,Human,In Vitro,50 ug/mL/4H,,,"Mutagenic: DNA damage, in fibroblasts",Mutagenicity,,1988
[Na+].NC1=NC2=C(N=CN2CCC(CO)C[O-])C(=O)N1,penciclovir sodium,Human,In Vitro,250-400 mg/L/25H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1996
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,phenytoin,Human,In Vitro,200 ug/mL/24h,,,"Mutagenic: Chromosome aberration, in embryonic cells",Mutagenicity,,1987
[H][C@]1(CC2=C(C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@](C)(O)[C@H](O)[C@@H](C)O4)[C@@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O1)C(O)=C1C(C=C(O[C@H]3C[C@@H](O[C@H]4C[C@@H](O)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)C(C)=C1O)=C2)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O,plicamycin,Human,In Vitro,0.015 ug/mL/16H,,,"Mutagenic: Mutation in mammalian somatic cells, in HeLa cells",Mutagenicity,,1985
C[C@H]1CNC(=O)C2=C3N=C(N[C@H](C)C4=CC(F)=CC=C4O1)C=CN3N=C2,repotrectinib,Human,In Vitro,Unreported,,,"Mutagenic: Unreported assay, in lymphoma cells",Mutagenicity,,2023
CC(C)C1=CC(OC2=C(Cl)C=C(C=C2Cl)N2N=C(C#N)C(=O)NC2=O)=NNC1=O,resmetirom,Human,In Vitro,Unreported,,,"Mutagenic: Micronucleus test, in leukemic cells",Mutagenicity,,2024
C[C@H](CC1=CC=CC=C1)N(C)CC#C,selegiline,Human,In Vitro,40 ug/mL/48H,,,"Mutagenic: Specific locus test (thymidine kinase), in lymphoma cells, with S9",Mutagenicity,,2004
[F-].[Na+],sodium fluoride,Human,In Vitro,1-6 mM/20-24H,,,"Mutagenic: Chromosome aberration, in lymphoid cells",Mutagenicity,,1993
[Na+].[O-]Cl,sodium hypochlorite,Human,In Vitro,0.5 ppm/1H,,,"Mutagenic: DNA damage, in leukocytes",Mutagenicity,,2004
CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,stavudine,Human,In Vitro,250 mg/L/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1994
CN1N=NC2=C(N=CN2C1=O)C(N)=O,temozolomide,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2010
[H][C@@]12CO[C@H](O[C@@]1([H])[C@H](O)[C@@H](O)[C@H](O[C@@H]1C3=C(C=C4OCOC4=C3)[C@@H](C3=CC(OC)=C(O)C(OC)=C3)[C@@]3([H])C(=O)OC[C@]13[H])O2)C1=CC=CS1,teniposide,Human,In Vitro,10 uM/3H,,,"Mutagenic: DNA damage, in mammary tumor cells",Mutagenicity,,2001
C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,teriflunomide,Human,In Vitro,300 ug/mL,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2011
Cl.[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,tetracycline hydrochloride,Human,In Vitro,0.5 mM,,,"Mutagenic: Unscheduled DNA synthesis, in fibroblasts",Mutagenicity,,1994
OC(=O)CC(O)(CC(O)=O)C(O)=O.C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N,tofacitinib citrate,Human,In Vitro,1700 ug/mL/3H,,Single,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2013
Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O,topotecan hydrochloride,Human,In Vitro,0.25-0.5 mg/L/4H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with/without S9",Mutagenicity,,1995
C[C@@H](NC(=O)C1=NC=NC(N)=C1Cl)C1=NC=C(S1)C(=O)NC1=NC=C(Cl)C(=C1)C(F)(F)F,tovorafenib,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2024
CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,treosulfan,Human,In Vitro,4.5 mM,,Single,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,2018
Cl\C=C(/Cl)Cl,trichloroethylene,Human,In Vitro,"1 mM, 20H",,,"Mutagenic: DNA damage, in kidney cells",Mutagenicity,,2004
C1CN1C1=NC(=NC(=N1)N1CC1)N1CC1,triethylene melamine,Human,In Vitro,0.1 ug/mL/120M,,,"Mutagenic: Chromosome aberration, in sperm",Mutagenicity,,1995
Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O,valacyclovir hydrochloride,Human,In Vitro,750 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1995
Cl[H].NC(=O)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=CC=C(C=C23)C#N)CC1,vilazodone hydrochloride,Human,In Vitro,15.8 ug/mL/5H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with/without S9",Mutagenicity,,2010
OS(O)(=O)=O.[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@@H]2C[N@](CCC3=C1NC1=CC=CC=C31)C[C@](O)(CC)C2)C(=O)OC,vincristine sulfate,Human,In Vitro,0.2 ug/mL/24H,,,"Mutagenic: Chromosome aberration, in leukocytes",Mutagenicity,,1984
NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,zalcitabine,Human,In Vitro,1.5 mg/L/24H,,,"Mutagenic: Chromosome aberration, in blood cells",Mutagenicity,,1992
